slug,Year,age,minutes_played,made_field_goals,attempted_field_goals,attempted_three_point_field_goals,attempted_free_throws,defensive_rebounds,turnovers,player_efficiency_rating,total_rebound_percentage,value_over_replacement_player
doziepj01,2018,21,3,1,2,0,0,1,1,-5.0,18.5,0.0
doziepj01,2019,22,51,8,21,8,2,11,0,16.0,17.8,0.0
doziepj01,2020,23,412,65,157,49,29,45,27,11.6,7.5,-0.2
doziepj01,2021,24,1088,148,355,149,66,147,46,10.4,9.5,-0.2
doziepj01,2022,25,340,36,99,48,13,49,13,8.7,10.3,0.0
duhonch01,2005,22,2177,172,488,265,67,190,119,9.8,5.5,0.7
duhonch01,2006,23,2155,215,538,278,143,192,117,12.9,5.9,1.5
duhonch01,2007,24,1906,197,483,245,101,146,105,11.9,5.1,1.2
duhonch01,2008,25,1490,133,344,155,80,97,71,11.1,4.4,0.1
duhonch01,2009,26,2906,287,681,325,209,201,221,12.2,4.6,0.3
dunnkr01,2017,22,1333,118,313,73,59,142,89,8.1,7.3,-0.3
dunnkr01,2018,23,1525,286,666,134,114,197,150,14.5,7.8,0.3
dunnkr01,2019,24,1389,215,506,96,69,168,104,12.4,7.3,-0.2
dunnkr01,2020,25,1269,152,342,112,54,163,68,12.1,8.1,0.4
dunnkr01,2021,26,45,1,12,2,4,6,3,-5.7,7.3,-0.1
embiijo01,2017,22,786,200,429,98,244,182,117,24.1,17.0,1.3
embiijo01,2018,23,1912,510,1056,214,467,547,234,22.9,19.4,2.6
embiijo01,2019,24,2154,580,1199,263,649,711,226,26.1,21.4,3.8
embiijo01,2020,25,1506,382,801,172,435,452,159,25.8,21.7,2.5
embiijo01,2021,26,1585,461,899,154,548,426,159,30.3,18.7,3.8
farieke01,2012,22,1037,181,309,0,164,210,54,21.9,19.8,1.1
farieke01,2013,23,2248,380,689,0,266,474,113,18.5,18.3,1.7
farieke01,2014,24,2178,447,820,3,311,446,135,19.8,16.9,1.6
farieke01,2015,25,2086,373,736,8,288,426,118,18.4,17.3,1.0
farieke01,2016,26,1694,349,626,2,222,346,91,21.0,19.0,1.0
favorde01,2011,19,1091,141,276,0,116,171,56,12.6,16.1,-0.5
favorde01,2011,19,444,74,140,0,57,70,21,16.8,15.6,0.0
favorde01,2012,20,1376,222,445,0,194,267,103,17.1,17.7,0.3
favorde01,2013,21,1787,274,568,5,260,362,129,17.5,17.9,0.7
favorde01,2014,22,2201,390,747,1,284,438,129,19.0,16.7,1.2
feliccr01,2016,23,321,40,72,4,35,72,13,17.6,16.7,0.2
